team,season,GP,W,L,OT,P,P%,RW,ROW,S/O Win,GF/GP,GA/GP,PP%,PK%,Net PP%,Net PK%,Shots/GP,SA/GP,xGoalsPercentage,corsiPercentage,fenwickPercentage,xGoalsFor,shotsOnGoalFor,shotAttemptsFor,goalsFor,penaltiesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,xGoalsAgainst,shotsOnGoalAgainst,shotAttemptsAgainst,goalsAgainst,penaltiesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,goalDifferential,season_end,tm_season,next_year_pts_perc
CAR,2013-14,82,36,35,11,83,0.506,30,34,2,2.5,2.76,14.6,81.7,11.7,86.3,31.2,30.9,0.49,0.51,0.5,225.88,2561,4929,205,288,2652,1807,785,734,232.78,2537,4694,226,319,2390,1965,652,750,-21,2014,CAR_2014,0.433
EDM,2014-15,82,24,44,14,62,0.378,17,19,5,2.35,3.37,17.7,76.7,14.7,78.5,28.4,30,0.46,0.49,0.48,207.09,2331,4492,193,272,2390,1980,598,898,245.87,2464,4692,276,287,2567,2042,581,794,-83,2015,EDM_2015,0.427
FLA,2014-15,82,38,29,15,91,0.555,29,30,8,2.41,2.6,16.3,80,13.8,80.4,30.7,29.6,0.51,0.51,0.5,214.48,2517,4455,198,316,2505,2268,487,472,207.7,2424,4333,213,313,2650,2268,447,548,-15,2015,FLA_2015,0.628
ARI,2014-15,82,24,50,8,56,0.341,14,19,5,2.01,3.26,20,76.7,17,78.1,29.2,33.2,0.44,0.48,0.47,198.61,2393,4619,165,332,2666,2489,490,538,251.94,2722,5061,267,285,2476,2451,537,604,-102,2015,ARI_2015,0.476
PIT,2014-15,82,43,27,12,98,0.598,33,39,4,2.65,2.49,19.3,84.8,15,87,31.6,29.3,0.52,0.52,0.52,232.24,2594,4676,217,388,2396,2495,441,581,217.03,2401,4334,204,363,2487,2353,503,530,13,2015,PIT_2015,0.634
WPG,2014-15,82,43,26,13,99,0.604,32,36,7,2.72,2.49,17.8,81.8,16,85.1,29.7,28.7,0.51,0.52,0.51,231.19,2439,4689,223,406,2476,2409,536,772,224.72,2350,4360,204,362,2589,1931,484,855,19,2015,WPG_2015,0.476
WSH,2014-15,82,45,26,11,101,0.616,35,40,5,2.89,2.43,25.3,81.2,23.6,82.7,29.5,28.9,0.52,0.51,0.51,235.9,2420,4736,237,351,2522,2335,589,697,215.5,2368,4601,199,322,2399,2195,581,746,38,2015,WSH_2015,0.732
MIN,2014-15,82,46,28,8,100,0.61,38,42,4,2.77,2.41,15.9,86.3,14.6,88,30.8,27.6,0.55,0.51,0.52,231.66,2522,4593,227,289,2491,1323,585,522,190.42,2266,4410,198,305,2504,1642,474,609,29,2015,MIN_2015,0.53
SJS,2014-15,82,40,33,9,89,0.543,34,36,4,2.73,2.76,21.7,78.5,19.7,80.3,31.6,29.7,0.52,0.52,0.52,253.73,2592,5097,224,291,2698,1930,624,942,236.12,2436,4713,226,322,2498,2087,557,894,-2,2015,SJS_2015,0.598
BOS,2014-15,82,41,27,14,96,0.585,28,37,4,2.55,2.45,17.8,82,16.4,85.3,31,29.9,0.51,0.52,0.51,211.89,2546,4817,209,300,2686,2112,487,604,203.93,2449,4420,201,269,2323,2296,574,785,8,2015,BOS_2015,0.567
LAK,2014-15,82,40,27,15,95,0.579,37,38,2,2.66,2.4,19,80.9,18.2,83.9,30.9,27,0.51,0.54,0.54,214.05,2536,4889,218,297,2530,2630,375,780,202.91,2215,4150,197,309,2399,2318,478,731,21,2015,LAK_2015,0.622
CAR,2014-15,82,30,41,11,71,0.433,24,25,5,2.23,2.67,18.8,84.7,17.1,85.8,30.8,27.3,0.51,0.53,0.52,217.96,2524,4848,183,231,2602,1953,746,720,207.5,2237,4311,219,277,2311,2311,707,653,-36,2015,CAR_2015,0.524
NYR,2014-15,82,53,22,7,113,0.689,43,49,4,3.02,2.28,16.8,84.3,14.2,88.1,31.5,29.5,0.53,0.5,0.5,234.51,2582,4620,248,283,2298,1913,667,775,210.85,2418,4569,187,276,2619,1961,527,756,61,2015,NYR_2015,0.616
TOR,2014-15,82,30,44,8,68,0.415,22,25,5,2.51,3.13,15.9,80.5,11.7,83.1,29.2,33.5,0.45,0.47,0.46,215.54,2397,4422,206,333,2547,2545,756,710,267.81,2748,5038,257,351,2647,2348,737,767,-51,2015,TOR_2015,0.421
CBJ,2014-15,82,42,35,5,89,0.543,28,33,9,2.77,3.02,21.7,80.2,19.7,81.9,28.9,33.4,0.47,0.47,0.47,211.35,2366,4215,227,387,2498,2510,485,485,235.89,2742,4747,248,329,2570,1930,474,566,-21,2015,CBJ_2015,0.463
VAN,2014-15,82,48,29,5,101,0.616,36,42,6,2.88,2.68,19.3,85.7,18.5,88,29.9,29.8,0.49,0.49,0.5,219.68,2454,4429,236,337,2330,1582,502,689,229.87,2447,4593,220,304,2663,1888,531,702,16,2015,VAN_2015,0.457
CGY,2014-15,82,45,30,7,97,0.591,32,41,4,2.89,2.6,18.8,80.7,17.7,83.9,27.5,29.2,0.5,0.47,0.48,220.07,2252,4387,237,241,2431,1782,814,899,222.56,2392,4995,213,316,2692,1571,696,833,24,2015,CGY_2015,0.47
COL,2014-15,82,39,31,12,90,0.549,27,29,10,2.55,2.72,15,84.7,14.2,86.3,27.9,33.2,0.45,0.44,0.45,206.22,2286,4087,209,290,2561,2018,664,545,254.71,2719,5182,223,304,2478,1673,704,442,-14,2015,COL_2015,0.5
DET,2014-15,82,43,25,14,100,0.61,32,39,4,2.82,2.57,23.8,80.9,21.1,81.9,29.6,28.3,0.52,0.53,0.52,225.9,2429,4499,231,333,2581,1569,415,601,206.08,2322,4046,211,341,2434,1930,456,563,20,2015,DET_2015,0.567
MTL,2014-15,82,50,22,10,110,0.671,37,43,7,2.61,2.24,16.5,83.7,14.8,86.4,28.5,30.1,0.49,0.48,0.49,207.07,2334,4527,214,324,2695,1696,457,830,214.9,2470,4821,184,307,2479,2276,457,826,30,2015,MTL_2015,0.5
DAL,2014-15,82,41,31,10,92,0.561,33,37,4,3.13,3.13,19,80.7,16.6,84.3,31.2,29.9,0.52,0.52,0.52,253.94,2558,5104,257,316,2804,1657,645,821,235.12,2454,4708,257,349,2614,1819,686,747,0,2015,DAL_2015,0.665
BUF,2014-15,82,23,51,8,54,0.329,14,15,8,1.87,3.28,13.4,75.1,9.8,77.8,24.2,35.6,0.4,0.38,0.39,172.09,1984,3446,153,318,2195,2204,379,514,261.35,2921,5629,269,291,2689,1610,399,512,-116,2015,BUF_2015,0.494
NJD,2014-15,82,32,36,14,78,0.476,26,27,5,2.15,2.55,19.3,80.6,15.6,83.2,24.5,30.7,0.46,0.46,0.45,186.13,2009,3703,176,314,2203,1646,453,624,220.38,2518,4391,209,263,2456,1796,558,550,-33,2015,NJD_2015,0.512
NYI,2014-15,82,47,28,7,101,0.616,34,40,7,2.99,2.73,18.7,78,17.6,82.6,33.8,28.3,0.55,0.53,0.54,261.71,2771,5127,245,268,2402,2685,774,929,211.08,2321,4544,224,320,2478,2173,728,817,21,2015,NYI_2015,0.61
ANA,2014-15,82,51,24,7,109,0.665,35,43,8,2.78,2.7,15.7,81,13.2,84.3,30,28.9,0.51,0.51,0.52,216.74,2458,4719,228,342,2652,2301,479,745,205.63,2367,4522,221,302,2483,2187,515,789,7,2015,ANA_2015,0.628
CHI,2014-15,82,48,28,6,102,0.622,36,39,9,2.68,2.27,17.6,83.4,14.9,84.8,33.9,30.2,0.53,0.54,0.53,240.42,2777,5109,220,251,2553,1357,593,634,213.87,2477,4316,186,303,2352,2317,551,567,34,2015,CHI_2015,0.628
PHI,2014-15,82,33,31,18,84,0.512,25,30,3,2.59,2.72,23.4,77.1,21.1,78.2,29.4,30.3,0.49,0.5,0.49,224.23,2413,4628,212,316,2571,2511,413,588,232.73,2481,4692,223,307,2456,2428,503,617,-11,2015,PHI_2015,0.585
STL,2014-15,82,51,24,7,109,0.665,37,42,9,2.91,2.4,22.3,83.7,20.3,84.4,30.9,27.2,0.53,0.52,0.53,217.11,2536,4621,239,349,2737,1847,532,425,192.76,2233,4295,197,332,2386,2035,562,536,42,2015,STL_2015,0.652
TBL,2014-15,82,50,24,8,108,0.659,43,47,3,3.16,2.51,18.8,83.7,16.7,86.4,29.6,27.9,0.52,0.51,0.51,237.47,2428,4507,259,331,2372,1759,530,667,217.83,2287,4283,206,357,2400,1834,541,641,53,2015,TBL_2015,0.591
NSH,2014-15,82,47,25,10,104,0.634,33,41,6,2.76,2.46,16.2,80.8,14.3,82.5,31.9,28.3,0.53,0.53,0.53,213.45,2614,4882,226,284,2562,1691,529,660,193.1,2318,4385,202,303,2677,1685,609,670,24,2015,NSH_2015,0.585
OTT,2014-15,82,43,26,13,99,0.604,30,37,6,2.83,2.54,16.8,82.9,13.9,85.2,31,32.1,0.52,0.51,0.5,225.45,2540,4813,232,325,2421,2279,648,719,207.73,2635,4615,208,346,2599,2121,536,736,24,2015,OTT_2015,0.518
EDM,2015-16,82,31,43,8,70,0.427,20,27,4,2.43,2.95,18.1,81.1,15.6,83.1,29.1,31.1,0.48,0.49,0.48,220.57,2387,4513,199,308,2429,1818,564,881,237.88,2549,4782,242,294,2549,2014,529,854,-43,2016,EDM_2016,0.628
NJD,2015-16,82,38,36,8,84,0.512,27,36,2,2.22,2.46,19.9,83,16.8,84.9,24.4,28.6,0.47,0.46,0.47,191.37,2004,3595,182,319,2183,1840,463,509,218.33,2349,4236,202,310,2518,1858,495,532,-20,2016,NJD_2016,0.427
NSH,2015-16,82,41,27,14,96,0.585,35,37,4,2.73,2.6,19.7,81.2,18.9,84.1,30.6,27.3,0.54,0.52,0.53,219.55,2507,4619,224,307,2387,1886,473,633,183.33,2243,4271,213,314,2515,1658,565,646,11,2016,NSH_2016,0.573
TBL,2015-16,82,46,31,5,97,0.591,36,43,3,2.73,2.41,15.8,84.1,13.3,86.8,29.3,28.9,0.51,0.51,0.51,214.57,2403,4551,224,330,2372,1682,470,679,208.53,2367,4349,198,346,2421,2057,528,554,26,2016,TBL_2016,0.573
CAR,2015-16,82,35,31,16,86,0.524,25,33,2,2.39,2.7,16.8,84.3,14.7,85.8,29.9,27.6,0.51,0.53,0.52,236.26,2451,4680,196,245,2523,1550,756,656,223.41,2262,4229,221,282,2178,1836,711,680,-25,2016,CAR_2016,0.53
DET,2015-16,82,41,30,11,93,0.567,30,39,2,2.55,2.67,18.8,81.6,17.3,82.3,29.7,29.7,0.5,0.51,0.5,219.38,2433,4459,209,328,2417,1651,415,599,222.68,2439,4240,219,323,2367,1699,455,541,-10,2016,DET_2016,0.482
ARI,2015-16,82,35,39,8,78,0.476,29,34,1,2.54,2.98,17.7,77.3,13,78.6,27.6,31,0.47,0.48,0.47,201.11,2266,4357,208,373,2762,1815,483,465,227.34,2541,4790,244,359,2288,1924,445,576,-36,2016,ARI_2016,0.427
STL,2015-16,82,49,24,9,107,0.652,36,44,5,2.67,2.4,21.5,85.2,19.4,86.6,30.2,29.7,0.49,0.5,0.5,215.45,2474,4495,219,346,2579,1937,504,445,223.65,2441,4457,197,310,2452,1856,504,587,22,2016,STL_2016,0.604
MIN,2015-16,82,38,33,11,87,0.53,34,35,3,2.6,2.49,18.5,77.9,16.2,81.4,29,28.6,0.52,0.49,0.49,220.6,2375,4379,213,242,2591,1406,503,557,201.93,2347,4560,204,300,2342,1639,433,511,9,2016,MIN_2016,0.646
FLA,2015-16,82,47,26,9,103,0.628,39,40,7,2.83,2.44,16.9,79.5,15.1,81.3,28.8,29.5,0.5,0.49,0.49,223.77,2360,4104,232,342,2548,1910,506,610,221.17,2419,4257,200,343,2540,2025,494,623,32,2016,FLA_2016,0.494
MTL,2015-16,82,38,38,6,82,0.5,30,33,5,2.63,2.84,16.2,81.9,12,85,30.5,29.4,0.51,0.51,0.51,222.22,2505,4713,216,308,2621,1933,496,885,216.91,2408,4449,233,321,2586,2394,446,939,-17,2016,MTL_2016,0.628
DAL,2015-16,82,50,23,9,109,0.665,42,48,2,3.23,2.78,22.1,82.3,16.4,86.3,32,28.9,0.53,0.52,0.52,258,2626,5090,265,302,2597,1556,575,872,227.61,2372,4662,228,308,2577,1847,549,743,37,2016,DAL_2016,0.482
WPG,2015-16,82,35,39,8,78,0.476,29,32,3,2.59,2.88,14.8,78.4,13.2,81.9,29.6,29.5,0.49,0.51,0.5,227.63,2429,4558,212,360,2257,2103,550,766,241.55,2423,4464,236,333,2572,1655,488,870,-24,2016,WPG_2016,0.53
CBJ,2015-16,82,34,40,8,76,0.463,26,28,6,2.6,3.02,17.3,81,14.1,82.1,29.1,31.1,0.49,0.48,0.48,240.05,2387,4358,213,364,2471,2145,490,478,248.9,2550,4800,248,338,2572,1543,410,564,-35,2016,CBJ_2016,0.659
PHI,2015-16,82,41,27,14,96,0.585,28,38,3,2.57,2.56,18.9,80.5,16.1,81.7,31,30.7,0.5,0.51,0.51,240.96,2542,4903,211,346,2530,2196,455,687,236.62,2519,4716,210,360,2431,2181,533,735,1,2016,PHI_2016,0.537
OTT,2015-16,82,38,35,9,85,0.518,26,32,6,2.8,2.94,15.8,75.8,14.6,82.5,28.4,32.8,0.48,0.48,0.47,225.16,2325,4475,230,329,2519,2262,585,755,245.06,2688,4869,241,313,2464,1948,566,808,-11,2016,OTT_2016,0.598
CGY,2015-16,82,35,40,7,77,0.47,24,33,2,2.79,3.13,17,75.5,14.4,79.8,29.2,29,0.49,0.49,0.49,216.07,2398,4532,229,281,2411,1700,573,804,223.81,2377,4703,257,315,2550,1353,566,680,-28,2016,CGY_2016,0.573
WSH,2015-16,82,56,18,8,120,0.732,45,52,4,3.02,2.33,21.9,85.2,19.9,85.9,30.6,28.4,0.52,0.51,0.51,240.48,2510,4702,248,312,2368,1994,565,726,221,2333,4592,191,313,2409,1870,608,643,57,2016,WSH_2016,0.72
SJS,2015-16,82,46,30,6,98,0.598,37,42,4,2.89,2.52,22.6,80.5,20,83.1,30.4,27.4,0.55,0.52,0.53,243.63,2491,4722,237,287,2472,1686,593,931,203.03,2245,4407,207,324,2404,1960,498,817,30,2016,SJS_2016,0.604
VAN,2015-16,82,31,38,13,75,0.457,22,26,5,2.27,2.91,15.8,81.1,12.6,82.7,28.2,32.5,0.44,0.47,0.47,193.69,2311,4218,186,313,2223,1533,440,661,242.48,2668,4665,239,310,2669,1641,509,678,-53,2016,VAN_2016,0.421
NYI,2015-16,82,45,27,10,100,0.61,34,40,5,2.77,2.57,18.3,84.5,15.7,87.5,29.4,30.4,0.5,0.49,0.5,221.93,2412,4604,227,291,2331,2311,623,818,226.16,2496,4730,211,289,2323,2043,639,724,16,2016,NYI_2016,0.573
BOS,2015-16,82,42,31,9,93,0.567,33,38,4,2.88,2.78,20.5,82.2,18.8,85.6,32,30.4,0.48,0.5,0.5,222.66,2620,4692,236,348,2592,2164,501,705,237.95,2492,4712,228,309,2548,1969,616,859,8,2016,BOS_2016,0.579
NYR,2015-16,82,46,27,9,101,0.616,39,43,3,2.84,2.62,18.6,78.2,16.4,79.4,28.5,30.4,0.47,0.48,0.48,205.04,2337,4366,233,299,2313,2164,603,824,228.11,2494,4818,215,274,2390,1850,498,742,18,2016,NYR_2016,0.622
BUF,2015-16,82,35,36,11,81,0.494,29,33,2,2.43,2.62,18.9,82.6,16.5,85.3,29.5,30.6,0.49,0.48,0.48,205.84,2418,4325,199,269,2427,1916,431,520,217.74,2513,4602,215,306,2488,1669,428,535,-16,2016,BUF_2016,0.476
LAK,2015-16,82,48,28,6,102,0.622,34,46,2,2.72,2.34,20,81.4,18.7,83.2,32,27.5,0.52,0.55,0.55,234.37,2625,5133,223,344,2534,2495,347,728,216.17,2255,4201,192,301,2483,2197,363,704,31,2016,LAK_2016,0.524
COL,2015-16,82,39,39,4,82,0.5,33,35,4,2.59,2.93,18.1,80.2,14.7,83,28.6,32.3,0.44,0.45,0.46,201.21,2349,4189,212,300,2384,1848,456,517,251.39,2650,5105,240,309,2398,1549,565,462,-28,2016,COL_2016,0.293
ANA,2015-16,82,46,25,11,103,0.628,39,43,3,2.62,2.29,23.1,87.2,21.9,89.7,30.3,27.5,0.55,0.52,0.53,230.08,2485,4738,215,375,2497,2234,428,802,189.51,2259,4384,188,337,2310,2060,494,879,27,2016,ANA_2016,0.64
PIT,2015-16,82,48,26,8,104,0.634,38,44,4,2.94,2.43,18.4,84.4,16.5,88.7,33.2,29.7,0.54,0.52,0.52,240.93,2722,4831,241,324,2593,1947,500,631,205.74,2436,4389,199,317,2576,2322,442,560,42,2016,PIT_2016,0.677
CHI,2015-16,82,47,26,9,103,0.628,36,46,1,2.85,2.52,22.6,80.3,21.4,84.6,30.5,30.8,0.5,0.5,0.5,225.35,2499,4593,234,258,2380,1389,477,642,222.46,2528,4533,207,294,2452,2430,487,644,27,2016,CHI_2016,0.665
TOR,2015-16,82,29,42,11,69,0.421,20,23,6,2.34,2.93,15.4,81.6,12.4,82.7,30.7,30.5,0.51,0.52,0.51,254.52,2515,5036,192,324,2617,2119,669,626,242.03,2503,4558,240,322,2556,2143,630,722,-48,2016,TOR_2016,0.579
MTL,2016-17,82,47,26,9,103,0.628,33,44,3,2.72,2.41,19.7,81.1,17,83.1,30,29.6,0.51,0.51,0.51,221.92,2460,4735,223,300,2516,1864,531,933,215.26,2429,4484,198,279,2483,2351,511,931,25,2017,MTL_2017,0.433
PHI,2016-17,82,39,33,10,88,0.537,25,32,7,2.59,2.82,19.5,79.8,16.3,81.4,31.5,28.5,0.52,0.52,0.53,245.06,2585,4962,212,314,2539,2063,427,736,223.35,2334,4553,231,344,2318,2149,562,823,-19,2017,PHI_2017,0.598
VAN,2016-17,82,30,43,9,69,0.421,19,26,4,2.17,2.94,14.1,76.7,11.5,77.6,27.7,31.8,0.45,0.48,0.47,198.42,2273,4240,178,252,2537,1471,503,587,243.68,2608,4562,241,259,2423,1686,480,618,-63,2017,VAN_2017,0.445
ARI,2016-17,82,30,42,10,70,0.427,20,24,6,2.33,3.15,16.2,77.3,13.2,80.4,27.8,34.1,0.43,0.45,0.44,201.94,2281,4285,191,319,2412,2098,403,607,269.86,2797,5252,258,287,2613,1594,461,589,-67,2017,ARI_2017,0.427
NYR,2016-17,82,48,28,6,102,0.622,40,45,3,3.09,2.63,20.2,79.8,18,83.9,29.7,30.1,0.51,0.49,0.5,231.68,2438,4512,253,262,2353,1715,647,859,220.38,2465,4685,216,275,2511,1683,531,827,37,2017,NYR_2017,0.47
NSH,2016-17,82,41,29,12,94,0.573,35,39,2,2.9,2.68,18.9,80.9,16.6,85.9,31.2,30.1,0.51,0.51,0.51,227.76,2558,4777,238,312,2599,1660,556,698,218.22,2473,4571,220,326,2453,1719,531,689,18,2017,NSH_2017,0.713
CBJ,2016-17,82,50,24,8,108,0.659,39,48,2,3.01,2.35,19.9,82.5,19,87,31,30.4,0.51,0.5,0.5,234.79,2541,4565,247,294,2402,1654,517,536,227.18,2489,4645,193,286,2537,1431,433,602,54,2017,CBJ_2017,0.591
CHI,2016-17,82,50,23,9,109,0.665,37,46,4,2.93,2.59,18,77.7,15,78.2,30.6,31.4,0.49,0.5,0.49,225.13,2509,4633,240,240,2236,1178,601,776,229.82,2575,4653,212,263,2474,2157,616,709,28,2017,CHI_2017,0.463
BOS,2016-17,82,44,31,7,95,0.579,38,42,2,2.83,2.55,21.7,85.7,19.3,89.4,33.2,26.8,0.56,0.54,0.55,254.31,2721,5014,232,336,2686,1776,616,711,196.81,2197,4190,209,320,2359,1989,806,902,23,2017,BOS_2017,0.683
DET,2016-17,82,33,36,13,79,0.482,17,24,9,2.41,2.98,15.1,80.9,11.5,82.1,28.5,30.6,0.47,0.49,0.48,205.75,2335,4286,198,295,2520,1644,432,669,227.74,2510,4548,244,312,2338,1809,482,716,-46,2017,DET_2017,0.445
TOR,2016-17,82,40,27,15,95,0.579,33,39,1,3.05,2.85,23.8,82.5,20.9,84.9,31.9,32.6,0.51,0.5,0.5,267.63,2617,4989,250,312,2524,1936,732,821,260.46,2673,4968,234,311,2537,2256,644,848,16,2017,TOR_2017,0.64
WSH,2016-17,82,55,19,8,118,0.72,45,53,2,3.18,2.16,23.1,83.8,21.9,85.7,30.4,27.8,0.5,0.52,0.52,231.91,2495,4678,261,328,2385,1727,643,853,230.66,2282,4377,177,301,2400,1758,676,792,84,2017,WSH_2017,0.64
CGY,2016-17,82,45,33,4,94,0.573,32,41,4,2.71,2.67,20.2,81.6,18.3,84.5,29.1,28.7,0.49,0.5,0.5,218.54,2389,4497,222,360,2432,1550,644,805,231.98,2356,4428,219,333,2538,1289,570,708,3,2017,CGY_2017,0.512
DAL,2016-17,82,34,37,11,79,0.482,28,33,1,2.71,3.17,17.9,73.9,13.6,75.9,30.5,29.7,0.48,0.5,0.51,240.84,2506,4890,222,306,2551,1552,531,789,260.94,2442,4824,260,313,2560,1529,498,708,-38,2017,DAL_2017,0.561
LAK,2016-17,82,39,35,8,86,0.524,25,37,2,2.43,2.45,19.1,84.6,17.8,86.6,31.1,25.9,0.52,0.55,0.55,230.34,2554,5011,199,290,2512,2323,317,728,209.6,2120,4139,201,289,2436,2141,391,811,-2,2017,LAK_2017,0.598
COL,2016-17,82,22,56,4,48,0.293,14,21,1,2.01,3.37,12.6,76.6,11.7,78.5,28.1,31.7,0.45,0.49,0.48,192.15,2304,4345,165,316,2631,1687,598,567,235.28,2603,4586,276,287,2276,1284,673,521,-111,2017,COL_2017,0.579
WPG,2016-17,82,40,35,7,87,0.53,33,37,3,3,3.11,18.2,77.5,14.8,81.1,29.9,31,0.5,0.49,0.49,238.08,2448,4432,246,339,2364,1906,592,769,234.26,2548,4621,255,325,2509,1566,513,891,-9,2017,WPG_2017,0.695
BUF,2016-17,82,33,37,12,78,0.476,25,31,2,2.43,2.82,24.5,77.6,22.8,78.9,30.4,34.3,0.47,0.47,0.47,216.6,2492,4416,199,282,2445,1872,475,626,244.98,2816,4942,231,290,2484,1530,429,687,-32,2017,BUF_2017,0.378
STL,2016-17,82,46,29,7,99,0.604,38,44,2,2.84,2.63,21.3,84.8,19.2,85.9,28.4,28.4,0.5,0.49,0.5,208.51,2331,4277,233,301,2438,1688,519,431,205.8,2327,4364,216,279,2411,1811,516,549,17,2017,STL_2017,0.573
NJD,2016-17,82,28,40,14,70,0.427,18,25,3,2.2,2.94,17.5,79.6,12.8,81.9,27.8,31.4,0.46,0.47,0.47,206.44,2279,4042,180,323,2422,1661,467,624,242.41,2573,4546,241,316,2498,1735,564,504,-61,2017,NJD_2017,0.591
FLA,2016-17,82,35,36,11,81,0.494,23,30,5,2.5,2.82,17,85.3,14,88.6,32.2,31.6,0.49,0.52,0.51,225.95,2644,4669,205,331,2384,1665,643,786,236.99,2596,4364,231,347,2590,1477,582,729,-26,2017,FLA_2017,0.585
TBL,2016-17,82,42,30,10,94,0.573,32,38,4,2.8,2.73,22.8,81.4,19.9,83,29.9,30.4,0.52,0.51,0.51,240.46,2454,4605,230,343,2376,1842,502,710,225.42,2492,4415,224,345,2609,1843,509,659,6,2017,TBL_2017,0.689
ANA,2016-17,82,46,23,13,105,0.64,40,43,3,2.68,2.4,18.7,84.7,15.9,87.9,29.6,29.6,0.52,0.5,0.5,226.13,2426,4579,220,365,2687,2146,411,766,208.95,2430,4659,197,326,2226,1766,494,877,23,2017,ANA_2017,0.616
EDM,2016-17,82,47,26,9,103,0.628,37,43,4,2.96,2.52,22.9,80.7,20.8,82.5,31.1,29.5,0.52,0.5,0.51,250.84,2550,4706,243,288,2302,2073,625,948,235.47,2419,4624,207,297,2592,1766,602,835,36,2017,EDM_2017,0.476
SJS,2016-17,82,46,29,7,99,0.604,38,44,2,2.67,2.44,16.7,80.7,14.2,84,29.9,27.7,0.51,0.51,0.52,236.32,2456,4888,219,248,2299,1539,658,1082,223.33,2269,4625,200,287,2477,1796,517,1033,19,2017,SJS_2017,0.61
PIT,2016-17,82,50,21,11,111,0.677,40,46,4,3.39,2.79,23.1,79.8,20.4,81.7,33.5,32.6,0.52,0.5,0.51,259.25,2751,4818,278,305,2452,2060,532,658,243,2671,4856,229,304,2702,2352,538,596,49,2017,PIT_2017,0.61
MIN,2016-17,82,49,25,8,106,0.646,42,46,3,3.21,2.51,21,83,19.6,85.3,30.8,30.1,0.55,0.5,0.5,236.23,2528,4568,263,265,2550,1284,523,500,196.29,2465,4607,206,277,2359,1594,474,563,57,2017,MIN_2017,0.616
NYI,2016-17,82,41,29,12,94,0.573,33,39,2,2.91,2.9,15,81.9,12,84.1,30.2,31.9,0.49,0.48,0.48,229.05,2480,4576,239,275,2261,2126,569,808,235.81,2616,5052,238,278,2480,1735,653,764,1,2017,NYI_2017,0.488
OTT,2016-17,82,44,28,10,98,0.598,34,38,6,2.51,2.56,17,79.7,15.8,82.5,30,30.1,0.5,0.49,0.49,216.45,2464,4592,206,335,2549,2114,537,791,213.47,2467,4865,210,339,2452,1809,525,787,-4,2017,OTT_2017,0.409
CAR,2016-17,82,36,31,15,87,0.53,28,33,3,2.59,2.8,17.8,84.2,15.2,89.1,30.4,28.3,0.53,0.52,0.52,249.34,2493,4780,212,212,2431,1611,842,786,220.38,2320,4362,230,253,2150,1880,812,692,-18,2017,CAR_2017,0.506
